grid_id,district_name,topology_surface,weighted_topological_degree,pet_rule_pagerank,topology_ecology_class,pet_service_count_2025,positive_rule_count
SZ500_0031_0057,宝安区,0.3748204221460935,8.0,0.0001101623191494,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0058,宝安区,0.35196706818432977,8.0,0.0001099515025612,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0059,宝安区,0.4599900541496298,8.013303915764453,0.0001099129943647,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0060,宝安区,0.45324345231517293,8.013303915764453,0.000109843608886,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0061,宝安区,0.45634324234722073,8.013303915764453,0.0001098701592934,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0062,宝安区,0.3399325892363797,8.0,0.0001098251247293,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0063,宝安区,0.35148082661067526,8.0,0.0001099480823023,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0064,宝安区,0.36789147972151626,8.0,0.0001101014951754,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0065,宝安区,0.38898220797878225,8.0,0.0001102634039674,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0066,宝安区,0.41220024312078685,8.0,0.0001103934557234,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0067,光明区,0.4314067852801415,8.0,0.0001104691710604,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0068,光明区,0.4330478505912256,8.0,0.0001104746659078,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0069,光明区,0.4048458393192618,8.0,0.0001103600377885,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0070,光明区,0.3655210520499503,8.0,0.0001100793982593,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0071,光明区,0.6671151508453973,8.088263544714518,0.0001105382761969,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0072,光明区,0.7300475190628799,8.21687763509922,0.0001115167156164,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0073,光明区,0.5426511216709029,8.152314239142342,0.0001101278163195,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0074,光明区,0.510653110840977,8.168443178173654,0.0001097837773393,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0075,光明区,0.7858824179467345,8.447908793955795,0.0001126347777009,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0076,光明区,0.7472814675654769,8.337344812479758,0.0001114240875744,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0077,光明区,0.7239639739197702,8.24983830782709,0.0001110468290243,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0078,光明区,0.4758509227538954,8.077659087522406,0.000109657377387,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0079,光明区,0.4804453530776882,8.067718600269004,0.0001097682915169,low_network_pet_rule_signal,0.0,0.0
