year,source_file,source_category,encoding,rows_scanned,candidate_rows,exclusion_rows,read_status,read_error
2021,深圳市2021/csv/深圳市_通行设施_2021.csv,通行设施,utf-8-sig,40919,2,0,ok,
2021,深圳市2021/csv/深圳市_道路附属设施_2021.csv,道路附属设施,utf-8-sig,260,0,0,ok,
2021,深圳市2021/csv/深圳市_金融保险服务_2021.csv,金融保险服务,utf-8-sig,8487,0,0,ok,
2021,深圳市2021/csv/深圳市_风景名胜_2021.csv,风景名胜,utf-8-sig,3740,28,4,ok,
2021,深圳市2021/csv/深圳市_餐饮服务_2021.csv,餐饮服务,utf-8-sig,139038,71,94,ok,
2022,深圳市2022/csv/2022交通设施服务.csv,交通设施服务,utf-8-sig,52205,0,0,ok,
2022,深圳市2022/csv/2022住宿服务.csv,住宿服务,utf-8-sig,24591,1,1,ok,
2022,深圳市2022/csv/2022体育休闲服务.csv,体育休闲服务,utf-8-sig,19627,13,21,ok,
2022,深圳市2022/csv/2022公共设施.csv,公共设施,utf-8-sig,7247,0,0,ok,
2022,深圳市2022/csv/2022公司企业.csv,公司企业,utf-8-sig,154352,48,11,ok,
2022,深圳市2022/csv/2022医疗保健服务.csv,医疗保健服务,utf-8-sig,25129,685,3,ok,
2022,深圳市2022/csv/2022商务住宅.csv,商务住宅,utf-8-sig,31166,1,1,ok,
2022,深圳市2022/csv/2022地名地址信息.csv,地名地址信息,utf-8-sig,142871,1,0,ok,
2022,深圳市2022/csv/2022室内设施.csv,室内设施,utf-8-sig,15584,0,0,ok,
2022,深圳市2022/csv/2022摩托车服务.csv,摩托车服务,utf-8-sig,224,0,0,ok,
2022,深圳市2022/csv/2022政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,22669,0,0,ok,
2022,深圳市2022/csv/2022汽车服务.csv,汽车服务,utf-8-sig,18294,0,16,ok,
2022,深圳市2022/csv/2022汽车维修.csv,汽车维修,utf-8-sig,3749,0,0,ok,
2022,深圳市2022/csv/2022汽车销售.csv,汽车销售,utf-8-sig,3309,0,1,ok,
2022,深圳市2022/csv/2022生活服务.csv,生活服务,utf-8-sig,78772,42,34,ok,
2022,深圳市2022/csv/2022科教文化服务.csv,科教文化服务,utf-8-sig,32651,10,11,ok,
2022,深圳市2022/csv/2022购物服务.csv,购物服务,utf-8-sig,121500,2998,236,ok,
2022,深圳市2022/csv/2022通行设施.csv,通行设施,utf-8-sig,1,0,0,ok,
2022,深圳市2022/csv/2022道路附属设施.csv,道路附属设施,utf-8-sig,174,0,0,ok,
2022,深圳市2022/csv/2022金融保险服务.csv,金融保险服务,utf-8-sig,8301,0,0,ok,
2022,深圳市2022/csv/2022风景名胜.csv,风景名胜,utf-8-sig,4665,26,5,ok,
2022,深圳市2022/csv/2022餐饮服务.csv,餐饮服务,utf-8-sig,152789,58,92,ok,
2023,深圳市2023/csv2/广东_深圳市_事件活动.csv,事件活动,utf-8-sig,7,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_交通设施服务.csv,交通设施服务,utf-8-sig,40841,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_住宿服务.csv,住宿服务,utf-8-sig,25367,1,1,ok,
2023,深圳市2023/csv2/广东_深圳市_体育休闲服务.csv,体育休闲服务,utf-8-sig,19412,15,26,ok,
2023,深圳市2023/csv2/广东_深圳市_公共设施.csv,公共设施,utf-8-sig,6540,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_公司企业.csv,公司企业,utf-8-sig,161489,45,12,ok,
2023,深圳市2023/csv2/广东_深圳市_医疗保健服务.csv,医疗保健服务,utf-8-sig,25003,667,1,ok,
2023,深圳市2023/csv2/广东_深圳市_商务住宅.csv,商务住宅,utf-8-sig,26691,1,1,ok,
2023,深圳市2023/csv2/广东_深圳市_地名地址信息.csv,地名地址信息,utf-8-sig,126510,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_室内设施.csv,室内设施,utf-8-sig,2,0,0,ok,
