year,category,relative_path,size_bytes,encoding,read_status,read_error
2018,公共设施,深圳市2018/csv/2018_公共设施.csv,2193939,utf-8-sig,ok,
2018,公司企业,深圳市2018/csv/2018_公司企业.csv,55396090,utf-8-sig,ok,
2018,医疗保健服务,深圳市2018/csv/2018_医疗保健服务.csv,9073495,utf-8-sig,ok,
2018,商务住宅,深圳市2018/csv/2018_商务住宅.csv,13674704,utf-8-sig,ok,
2018,地名地址信息,深圳市2018/csv/2018_地名地址信息.csv,45903761,utf-8-sig,ok,
2018,室内设施,深圳市2018/csv/2018_室内设施.csv,5828999,utf-8-sig,ok,
2018,摩托车服务,深圳市2018/csv/2018_摩托车服务.csv,87852,utf-8-sig,ok,
2018,政府机构及社会团体,深圳市2018/csv/2018_政府机构及社会团体.csv,9330079,utf-8-sig,ok,
2018,汽车服务,深圳市2018/csv/2018_汽车服务.csv,5996316,utf-8-sig,ok,
2018,汽车维修,深圳市2018/csv/2018_汽车维修.csv,1762774,utf-8-sig,ok,
2018,汽车销售,深圳市2018/csv/2018_汽车销售.csv,1232153,utf-8-sig,ok,
2018,生活服务,深圳市2018/csv/2018_生活服务.csv,54893152,utf-8-sig,ok,
2018,科教文化服务,深圳市2018/csv/2018_科教文化服务.csv,15963809,utf-8-sig,ok,
2018,购物服务,深圳市2018/csv/2018_购物服务.csv,85715615,utf-8-sig,ok,
2018,通行设施,深圳市2018/csv/2018_通行设施.csv,16320660,utf-8-sig,ok,
2018,道路附属设施,深圳市2018/csv/2018_道路附属设施.csv,215821,utf-8-sig,ok,
2018,金融保险服务,深圳市2018/csv/2018_金融保险服务.csv,5056530,utf-8-sig,ok,
2018,风景名胜,深圳市2018/csv/2018_风景名胜.csv,1153637,utf-8-sig,ok,
2018,餐饮服务,深圳市2018/csv/2018_餐饮服务.csv,61684488,utf-8-sig,ok,
2019,事件活动,深圳市2019/csv/2019_事件活动.csv,1866,utf-8-sig,ok,
2019,交通设施服务,深圳市2019/csv/2019_交通设施服务.csv,13737695,utf-8-sig,ok,
2019,住宿服务,深圳市2019/csv/2019_住宿服务.csv,8457859,utf-8-sig,ok,
2019,体育休闲服务,深圳市2019/csv/2019_体育休闲服务.csv,8547611,utf-8-sig,ok,
